behavior_session_id,ophys_session_id,ophys_container_id,mouse_id,indicator,full_genotype,driver_line,cre_line,reporter_line,sex,age_in_days,project_code,session_type,session_number,image_set,behavior_type,experience_level,prior_exposures_to_session_type,prior_exposures_to_image_set,prior_exposures_to_omissions,date_of_acquisition,equipment_name,imaging_plane_group_count,go_trial_count,ophys_experiment_id,false_alarm_trial_count,engaged_trial_count,trial_count,num_targeted_structures,hit_trial_count,correct_reject_trial_count,num_depths_per_area,catch_trial_count,miss_trial_count,file_id
792680306,792619807,[791352433],412036,GCaMP6f,Vip-IRES-Cre/wt;Ai148(TIT2L-GC6f-ICL-tTA2)/wt,['Vip-IRES-Cre'],Vip-IRES-Cre,Ai148(TIT2L-GC6f-ICL-tTA2),F,148,VisualBehavior,OPHYS_1_images_A,1,images_A,active_behavior,Familiar,0,19,1,10-12-18 14:37,CAM2P.4,,164,[792815735],4,17,937,1,62,20,1,24,102,-999
793485674,,,412036,GCaMP6f,Vip-IRES-Cre/wt;Ai148(TIT2L-GC6f-ICL-tTA2)/wt,['Vip-IRES-Cre'],Vip-IRES-Cre,Ai148(TIT2L-GC6f-ICL-tTA2),F,149,VisualBehavior,OPHYS_2_images_A_passive,2,images_A,passive_viewing,Familiar,0,20,2,11-12-18 15:59,CAM2P.4,,355,,0,0,405,,0,50,,50,355,2124
794968300,794918442,[791352433],412036,GCaMP6f,Vip-IRES-Cre/wt;Ai148(TIT2L-GC6f-ICL-tTA2)/wt,['Vip-IRES-Cre'],Vip-IRES-Cre,Ai148(TIT2L-GC6f-ICL-tTA2),F,151,VisualBehavior,OPHYS_3_images_A,3,images_A,active_behavior,Familiar,0,21,3,13-12-18 14:33,CAM2P.4,,100,[795073741],3,105,1051,1,71,9,1,12,29,-999
795742990,795625712,[791352433],412036,GCaMP6f,Vip-IRES-Cre/wt;Ai148(TIT2L-GC6f-ICL-tTA2)/wt,['Vip-IRES-Cre'],Vip-IRES-Cre,Ai148(TIT2L-GC6f-ICL-tTA2),F,152,VisualBehavior,OPHYS_4_images_B,4,images_B,active_behavior,Novel 1,0,0,4,14-12-18 13:37,CAM2P.4,,214,[795953296],6,341,692,1,95,23,1,29,119,-999
796052844,796044280,[791352433],412036,GCaMP6f,Vip-IRES-Cre/wt;Ai148(TIT2L-GC6f-ICL-tTA2)/wt,['Vip-IRES-Cre'],Vip-IRES-Cre,Ai148(TIT2L-GC6f-ICL-tTA2),F,153,VisualBehavior,OPHYS_5_images_B_passive,5,images_B,passive_viewing,Novel >1,0,1,5,15-12-18 14:11,CAM2P.4,,351,[796108483],0,0,402,1,0,51,1,51,351,-999
796251270,796236521,[791352433],412036,GCaMP6f,Vip-IRES-Cre/wt;Ai148(TIT2L-GC6f-ICL-tTA2)/wt,['Vip-IRES-Cre'],Vip-IRES-Cre,Ai148(TIT2L-GC6f-ICL-tTA2),F,154,VisualBehavior,OPHYS_6_images_B,6,images_B,active_behavior,Novel >1,0,2,6,16-12-18 14:15,CAM2P.4,,197,[796308505],5,443,739,1,122,23,1,28,75,-999
798126878,798007990,[791352433],412036,GCaMP6f,Vip-IRES-Cre/wt;Ai148(TIT2L-GC6f-ICL-tTA2)/wt,['Vip-IRES-Cre'],Vip-IRES-Cre,Ai148(TIT2L-GC6f-ICL-tTA2),F,156,VisualBehavior,OPHYS_2_images_A_passive,2,images_A,passive_viewing,Familiar,1,22,8,18-12-18 16:44,CAM2P.4,,353,[798404219],0,0,404,1,0,51,1,51,353,-999
825888541,825682242,[825183217],429952,GCaMP6f,Vip-IRES-Cre/wt;Ai148(TIT2L-GC6f-ICL-tTA2)/wt,['Vip-IRES-Cre'],Vip-IRES-Cre,Ai148(TIT2L-GC6f-ICL-tTA2),M,131,VisualBehavior,OPHYS_1_images_A,1,images_A,active_behavior,Familiar,0,11,1,20-02-19 9:52,CAM2P.4,,346,[826587940],0,0,437,1,6,50,1,50,340,-999
826697158,,,429952,GCaMP6f,Vip-IRES-Cre/wt;Ai148(TIT2L-GC6f-ICL-tTA2)/wt,['Vip-IRES-Cre'],Vip-IRES-Cre,Ai148(TIT2L-GC6f-ICL-tTA2),M,132,VisualBehavior,OPHYS_1_images_A,1,images_A,active_behavior,Familiar,1,12,2,21-02-19 9:41,CAM2P.4,,336,,0,0,456,,10,48,,48,326,2145
827374757,,,429952,GCaMP6f,Vip-IRES-Cre/wt;Ai148(TIT2L-GC6f-ICL-tTA2)/wt,['Vip-IRES-Cre'],Vip-IRES-Cre,Ai148(TIT2L-GC6f-ICL-tTA2),M,133,VisualBehavior,OPHYS_1_images_A,1,images_A,active_behavior,Familiar,2,13,3,22-02-19 9:49,CAM2P.4,,340,,1,0,449,,3,47,,48,337,2146
