behavior_session_id,ophys_session_id,ophys_container_id,mouse_id,indicator,full_genotype,driver_line,cre_line,reporter_line,sex,age_in_days,imaging_plane_group_count,project_code,session_type,session_number,image_set,behavior_type,experience_level,prior_exposures_to_session_type,prior_exposures_to_image_set,prior_exposures_to_omissions,date_of_acquisition,equipment_name,num_depths_per_area,ophys_experiment_id,num_targeted_structures,correct_reject_trial_count,catch_trial_count,go_trial_count,miss_trial_count,trial_count,file_id,false_alarm_trial_count,engaged_trial_count,hit_trial_count,auto_reward_count,earned_reward_count,total_reward_count,total_reward_volume,maximum_reward_rate,mean_hit_rate,mean_hit_rate_uncorrected,mean_hit_rate_engaged,mean_false_alarm_rate,mean_false_alarm_rate_uncorrected,mean_false_alarm_rate_engaged,mean_dprime,mean_dprime_engaged,max_dprime,max_dprime_engaged,mean_running_speed,mean_pupil_area,mean_dff
774937388,,,403491,GCaMP6f,Slc17a7-IRES2-Cre/wt;Camk2a-tTA/wt;Ai93(TITL-GCaMP6f)/wt,"['Slc17a7-IRES2-Cre', 'Camk2a-tTA']",Slc17a7-IRES2-Cre,Ai93(TITL-GCaMP6f),F,159,,VisualBehavior,OPHYS_1_images_A,1,images_A,active_behavior,Familiar,0,43,4,07-11-18 13:28,CAM2P.5,,,,5,9,63,8,883,5836,4,6,55,0,55,55,0.385,2.136973728,0.701141536,0.690724869,0.557142857,0.307441914,0.254301817,0.194444444,1.141983186,1.016257991,1.662413322,1.333527923,26.38675003,,
775378326,775289198,[782536745],403491,GCaMP6f,Slc17a7-IRES2-Cre/wt;Camk2a-tTA/wt;Ai93(TITL-GCaMP6f)/wt,"['Slc17a7-IRES2-Cre', 'Camk2a-tTA']",Slc17a7-IRES2-Cre,Ai93(TITL-GCaMP6f),F,160,,VisualBehavior,OPHYS_1_images_A,1,images_A,active_behavior,Familiar,1,44,5,08-11-18 12:22,CAM2P.5,1,[775614751],1,0,5,34,5,1117,-999,5,0,29,0,29,29,0.203,1.780378026,0.725855536,0.713035023,,0.785677083,1,,-0.174905935,,0.604585347,,28.83806705,1.307337239,0.007221989
778980920,,,403491,GCaMP6f,Slc17a7-IRES2-Cre/wt;Camk2a-tTA/wt;Ai93(TITL-GCaMP6f)/wt,"['Slc17a7-IRES2-Cre', 'Camk2a-tTA']",Slc17a7-IRES2-Cre,Ai93(TITL-GCaMP6f),F,166,,VisualBehavior,OPHYS_3_images_A,3,images_A,active_behavior,Familiar,0,48,9,14-11-18 11:33,CAM2P.5,,,,28,30,195,174,885,5839,2,0,21,0,21,21,0.147,1.585078424,0.223829743,0.219062257,,0.170019443,0.168988784,,-0.153539206,,1.564726471,,5.265398958,,
779818630,,,403491,GCaMP6f,Slc17a7-IRES2-Cre/wt;Camk2a-tTA/wt;Ai93(TITL-GCaMP6f)/wt,"['Slc17a7-IRES2-Cre', 'Camk2a-tTA']",Slc17a7-IRES2-Cre,Ai93(TITL-GCaMP6f),F,167,,VisualBehavior,OPHYS_3_images_A,3,images_A,active_behavior,Familiar,1,49,10,15-11-18 11:44,CAM2P.5,,,,4,10,75,17,1044,5840,6,56,58,0,58,58,0.406,2.457471993,0.664349757,0.658467404,0.662463983,0.488358195,0.506430484,0.553650794,0.479964992,0.307725012,0.933129523,0.64066689,1.633955008,,
780758836,,,403491,GCaMP6f,Slc17a7-IRES2-Cre/wt;Camk2a-tTA/wt;Ai93(TITL-GCaMP6f)/wt,"['Slc17a7-IRES2-Cre', 'Camk2a-tTA']",Slc17a7-IRES2-Cre,Ai93(TITL-GCaMP6f),F,168,,VisualBehavior,OPHYS_3_images_A,3,images_A,active_behavior,Familiar,2,50,11,16-11-18 14:27,CAM2P.5,,,,1,6,25,4,1457,5841,5,0,21,0,21,21,0.147,1.680285615,0.730817275,0.69855921,,0.684444444,0.634444444,,0.163531599,,0.67448975,,3.545443467,,
791257562,,,403491,GCaMP6f,Slc17a7-IRES2-Cre/wt;Camk2a-tTA/wt;Ai93(TITL-GCaMP6f)/wt,"['Slc17a7-IRES2-Cre', 'Camk2a-tTA']",Slc17a7-IRES2-Cre,Ai93(TITL-GCaMP6f),F,188,,VisualBehavior,OPHYS_3_images_A,3,images_A,active_behavior,Familiar,3,51,19,06-12-18 10:00,CAM2P.5,,,,16,23,160,82,903,5847,7,161,78,0,78,78,0.546,3.234567857,0.687749602,0.685017361,0.828091687,0.418568365,0.407395181,0.516611167,0.78649766,0.921733775,1.742060274,1.218454547,1.318794971,,
782380778,,,403491,GCaMP6f,Slc17a7-IRES2-Cre/wt;Camk2a-tTA/wt;Ai93(TITL-GCaMP6f)/wt,"['Slc17a7-IRES2-Cre', 'Camk2a-tTA']",Slc17a7-IRES2-Cre,Ai93(TITL-GCaMP6f),F,171,,VisualBehavior,OPHYS_4_images_B,4,images_B,active_behavior,Novel 1,0,0,12,19-11-18 16:22,CAM2P.5,,,,49,49,355,355,405,5842,0,0,0,0,0,0,0,0,0.010972074,0,,0.06768253,0,,-0.685914197,,-0.492433238,,-0.001118454,,
784156661,,,403491,GCaMP6f,Slc17a7-IRES2-Cre/wt;Camk2a-tTA/wt;Ai93(TITL-GCaMP6f)/wt,"['Slc17a7-IRES2-Cre', 'Camk2a-tTA']",Slc17a7-IRES2-Cre,Ai93(TITL-GCaMP6f),F,173,,VisualBehavior,OPHYS_4_images_B,4,images_B,active_behavior,Novel >1,1,1,13,21-11-18 11:24,CAM2P.5,,,,8,16,110,32,1077,5843,8,272,78,0,78,78,0.546,3.041205976,0.829616255,0.840968295,0.853747042,0.615368805,0.58595704,0.64834893,0.67198977,0.667830231,1.534120544,1.335177736,2.687055066,,
785426306,,,403491,GCaMP6f,Slc17a7-IRES2-Cre/wt;Camk2a-tTA/wt;Ai93(TITL-GCaMP6f)/wt,"['Slc17a7-IRES2-Cre', 'Camk2a-tTA']",Slc17a7-IRES2-Cre,Ai93(TITL-GCaMP6f),F,178,,VisualBehavior,OPHYS_4_images_B,4,images_B,active_behavior,Novel >1,2,2,14,26-11-18 11:37,CAM2P.5,,,,14,22,143,54,894,5844,8,242,89,0,89,89,0.623,3.352348849,0.752985452,0.746924846,0.851568594,0.591478136,0.582331794,0.722795414,0.491895245,0.435051046,1.208629566,0.80721514,0.009034943,,
791749028,,,403491,GCaMP6f,Slc17a7-IRES2-Cre/wt;Camk2a-tTA/wt;Ai93(TITL-GCaMP6f)/wt,"['Slc17a7-IRES2-Cre', 'Camk2a-tTA']",Slc17a7-IRES2-Cre,Ai93(TITL-GCaMP6f),F,189,,VisualBehavior,OPHYS_4_images_B,4,images_B,active_behavior,Novel >1,3,6,20,07-12-18 10:09,CAM2P.5,,,,13,19,134,31,927,5848,6,198,103,0,103,103,0.721,4.607900876,0.906508896,0.921075317,0.932067302,0.504622105,0.524892375,0.475906818,1.441363447,1.564431633,2.009667486,2.009667486,7.426008506,,
