behavior_session_id,ophys_session_id,ophys_container_id,mouse_id,indicator,full_genotype,driver_line,cre_line,reporter_line,sex,age_in_days,imaging_plane_group_count,project_code,session_type,session_number,image_set,behavior_type,experience_level,prior_exposures_to_session_type,prior_exposures_to_image_set,prior_exposures_to_omissions,date_of_acquisition,equipment_name,num_depths_per_area,ophys_experiment_id,num_targeted_structures,correct_reject_trial_count,catch_trial_count,go_trial_count,miss_trial_count,trial_count,file_id,false_alarm_trial_count,engaged_trial_count,hit_trial_count,auto_reward_count,earned_reward_count,total_reward_count,total_reward_volume,maximum_reward_rate,mean_hit_rate,mean_hit_rate_uncorrected,mean_hit_rate_engaged,mean_false_alarm_rate,mean_false_alarm_rate_uncorrected,mean_false_alarm_rate_engaged,mean_dprime,mean_dprime_engaged,max_dprime,max_dprime_engaged,mean_running_speed,mean_pupil_area,mean_dff
775378326,775289198.0,[782536745],403491,GCaMP6f,Slc17a7-IRES2-Cre/wt;Camk2a-tTA/wt;Ai93(TITL-GCaMP6f)/wt,"['Slc17a7-IRES2-Cre', 'Camk2a-tTA']",Slc17a7-IRES2-Cre,Ai93(TITL-GCaMP6f),F,160,,VisualBehavior,OPHYS_1_images_A,1,images_A,active_behavior,Familiar,1,44,5,08-11-18 12:22,CAM2P.5,1.0,[775614751],1.0,0,5,34,5,1117,-999,5,0,29,0,29,29,0.203,1.780378026,0.725855536,0.713035023,,0.785677083,1.0,,-0.174905935,,0.604585347,,28.83806705,1.307337239,0.007221989
788017709,787661032.0,[782536745],403491,GCaMP6f,Slc17a7-IRES2-Cre/wt;Camk2a-tTA/wt;Ai93(TITL-GCaMP6f)/wt,"['Slc17a7-IRES2-Cre', 'Camk2a-tTA']",Slc17a7-IRES2-Cre,Ai93(TITL-GCaMP6f),F,181,,VisualBehavior,OPHYS_6_images_B,6,images_B,active_behavior,Novel >1,1,5,17,29-11-18 10:32,CAM2P.5,1.0,[788490510],1.0,16,24,166,57,843,-999,8,402,109,0,109,109,0.763,3.22752018,0.749491438,0.74422828,0.793979517,0.48156802,0.50449571,0.518035472,0.782831262,0.780642434,1.786599787,1.723619439,-0.003575251,1.692073163,0.009265895
792680306,792619807.0,[791352433],412036,GCaMP6f,Vip-IRES-Cre/wt;Ai148(TIT2L-GC6f-ICL-tTA2)/wt,['Vip-IRES-Cre'],Vip-IRES-Cre,Ai148(TIT2L-GC6f-ICL-tTA2),F,148,,VisualBehavior,OPHYS_1_images_A,1,images_A,active_behavior,Familiar,0,19,1,10-12-18 14:37,CAM2P.4,1.0,[792815735],1.0,20,24,164,102,937,-999,4,17,62,0,62,62,0.434,2.283272185,0.452544696,0.448555334,0.469052224,0.301197959,0.346352968,0.625,0.594282698,-0.417742108,1.760123362,0.187761229,21.1107587,1.198609397,0.008140598
794968300,794918442.0,[791352433],412036,GCaMP6f,Vip-IRES-Cre/wt;Ai148(TIT2L-GC6f-ICL-tTA2)/wt,['Vip-IRES-Cre'],Vip-IRES-Cre,Ai148(TIT2L-GC6f-ICL-tTA2),F,151,,VisualBehavior,OPHYS_3_images_A,3,images_A,active_behavior,Familiar,0,21,3,13-12-18 14:33,CAM2P.4,1.0,[795073741],1.0,9,12,100,29,1051,-999,3,105,71,0,71,71,0.497,2.814602684,0.754771329,0.750307044,0.735291499,0.325652357,0.246948653,0.303470186,1.203225105,1.154542076,1.843438595,1.764151732,30.90350166,1.281022278,0.018865367
795742990,795625712.0,[791352433],412036,GCaMP6f,Vip-IRES-Cre/wt;Ai148(TIT2L-GC6f-ICL-tTA2)/wt,['Vip-IRES-Cre'],Vip-IRES-Cre,Ai148(TIT2L-GC6f-ICL-tTA2),F,152,,VisualBehavior,OPHYS_4_images_B,4,images_B,active_behavior,Novel 1,0,0,4,14-12-18 13:37,CAM2P.4,1.0,[795953296],1.0,23,29,214,119,692,-999,6,341,95,0,95,95,0.665,3.888489079,0.575536689,0.571748811,0.749590738,0.241032801,0.216970158,0.267693418,0.937126373,1.322297486,1.756979339,1.756979339,27.35250403,,0.052242444
796251270,796236521.0,[791352433],412036,GCaMP6f,Vip-IRES-Cre/wt;Ai148(TIT2L-GC6f-ICL-tTA2)/wt,['Vip-IRES-Cre'],Vip-IRES-Cre,Ai148(TIT2L-GC6f-ICL-tTA2),F,154,,VisualBehavior,OPHYS_6_images_B,6,images_B,active_behavior,Novel >1,0,2,6,16-12-18 14:15,CAM2P.4,1.0,[796308505],1.0,23,28,197,75,739,-999,5,443,122,0,122,122,0.854,4.415743421,0.747120371,0.751750001,0.761777098,0.281318427,0.288616175,0.304427365,1.41416998,1.332069992,2.236554018,2.057483877,28.5872101,1.458221659,0.024680885
792477679,792327341.0,[814796612],412366,GCaMP6f,Slc17a7-IRES2-Cre/wt;Camk2a-tTA/wt;Ai93(TITL-GCaMP6f)/wt,"['Slc17a7-IRES2-Cre', 'Camk2a-tTA']",Slc17a7-IRES2-Cre,Ai93(TITL-GCaMP6f),F,147,,VisualBehavior,OPHYS_1_images_A,1,images_A,active_behavior,Familiar,0,11,1,10-12-18 9:52,CAM2P.4,1.0,[792813858],1.0,2,17,134,55,697,-999,15,133,79,0,79,79,0.553,3.07380562,0.547954263,0.542987376,0.563959949,0.818716448,0.885321386,0.861107394,-0.801952424,-0.892277029,0.223007831,-0.701517169,28.5162867,1.362578589,0.007908647
794071128,793857113.0,[814796612],412366,GCaMP6f,Slc17a7-IRES2-Cre/wt;Camk2a-tTA/wt;Ai93(TITL-GCaMP6f)/wt,"['Slc17a7-IRES2-Cre', 'Camk2a-tTA']",Slc17a7-IRES2-Cre,Ai93(TITL-GCaMP6f),F,149,,VisualBehavior,OPHYS_3_images_A,3,images_A,active_behavior,Familiar,0,13,3,12-12-18 9:54,CAM2P.4,1.0,[794381992],1.0,9,20,135,67,757,-999,11,20,68,0,68,68,0.476,2.406061886,0.440283933,0.435445223,0.448259949,0.519328099,0.532750918,0.57755102,-0.200186502,-0.326479073,0.207719468,-0.245006223,24.67647883,1.179782604,0.007076115
794673280,794474159.0,[814796612],412366,GCaMP6f,Slc17a7-IRES2-Cre/wt;Camk2a-tTA/wt;Ai93(TITL-GCaMP6f)/wt,"['Slc17a7-IRES2-Cre', 'Camk2a-tTA']",Slc17a7-IRES2-Cre,Ai93(TITL-GCaMP6f),F,150,,VisualBehavior,OPHYS_4_images_B,4,images_B,active_behavior,Novel 1,0,0,4,13-12-18 9:23,CAM2P.4,1.0,[795076128],1.0,14,22,144,75,749,-999,8,79,69,0,69,69,0.483,2.709655145,0.512497508,0.519375018,0.465355374,0.358296384,0.34380363,0.298433048,0.307659991,0.429922925,0.728893042,0.728893042,33.58282913,1.422318394,0.008081609
796031509,796019065.0,[814796612],412366,GCaMP6f,Slc17a7-IRES2-Cre/wt;Camk2a-tTA/wt;Ai93(TITL-GCaMP6f)/wt,"['Slc17a7-IRES2-Cre', 'Camk2a-tTA']",Slc17a7-IRES2-Cre,Ai93(TITL-GCaMP6f),F,152,,VisualBehavior,OPHYS_6_images_B,6,images_B,active_behavior,Novel >1,0,2,6,15-12-18 10:44,CAM2P.4,1.0,[796105304],1.0,15,22,150,72,755,-999,7,112,78,0,78,78,0.546,3.292915786,0.537789244,0.543118701,0.495959917,0.42351425,0.411244311,0.37649708,0.289095738,0.323583938,0.950717777,0.947984287,28.9326328,1.238306982,0.007402345
