ophys_experiment_id,equipment_name,full_genotype,mouse_id,reporter_line,driver_line,sex,age_in_days,cre_line,indicator,session_number,prior_exposures_to_session_type,prior_exposures_to_image_set,prior_exposures_to_omissions,ophys_session_id,behavior_session_id,ophys_container_id,project_code,imaging_depth,targeted_structure,date_of_acquisition,session_type,experience_level,passive,image_set,file_id,cell_type
792815735,CAM2P.4,Vip-IRES-Cre/wt;Ai148(TIT2L-GC6f-ICL-tTA2)/wt,412036,Ai148(TIT2L-GC6f-ICL-tTA2),['Vip-IRES-Cre'],F,148,Vip-IRES-Cre,GCaMP6f,1,0,19,1,792619807,792680306,791352433,VisualBehavior,175,VISp,43444.88877,OPHYS_1_images_A,Familiar,FALSE,A,859887405,Vip Inhibitory
795073741,CAM2P.4,Vip-IRES-Cre/wt;Ai148(TIT2L-GC6f-ICL-tTA2)/wt,412036,Ai148(TIT2L-GC6f-ICL-tTA2),['Vip-IRES-Cre'],F,151,Vip-IRES-Cre,GCaMP6f,3,0,21,3,794918442,794968300,791352433,VisualBehavior,175,VISp,43447.88284,OPHYS_3_images_A,Familiar,FALSE,A,859887459,Vip Inhibitory
795953296,CAM2P.4,Vip-IRES-Cre/wt;Ai148(TIT2L-GC6f-ICL-tTA2)/wt,412036,Ai148(TIT2L-GC6f-ICL-tTA2),['Vip-IRES-Cre'],F,152,Vip-IRES-Cre,GCaMP6f,4,0,0,4,795625712,795742990,791352433,VisualBehavior,175,VISp,43448.8452,OPHYS_4_images_B,Novel 1,FALSE,B,859887431,Vip Inhibitory
796308505,CAM2P.4,Vip-IRES-Cre/wt;Ai148(TIT2L-GC6f-ICL-tTA2)/wt,412036,Ai148(TIT2L-GC6f-ICL-tTA2),['Vip-IRES-Cre'],F,154,Vip-IRES-Cre,GCaMP6f,6,0,2,6,796236521,796251270,791352433,VisualBehavior,175,VISp,43450.86444,OPHYS_6_images_B,Novel >1,FALSE,B,859887448,Vip Inhibitory
826587940,CAM2P.4,Vip-IRES-Cre/wt;Ai148(TIT2L-GC6f-ICL-tTA2)/wt,429952,Ai148(TIT2L-GC6f-ICL-tTA2),['Vip-IRES-Cre'],M,131,Vip-IRES-Cre,GCaMP6f,1,0,11,1,825682242,825888541,825183217,VisualBehavior,175,VISp,43516.64079,OPHYS_1_images_A,Familiar,FALSE,A,859911267,Vip Inhibitory
830093338,CAM2P.4,Vip-IRES-Cre/wt;Ai148(TIT2L-GC6f-ICL-tTA2)/wt,429952,Ai148(TIT2L-GC6f-ICL-tTA2),['Vip-IRES-Cre'],M,138,Vip-IRES-Cre,GCaMP6f,4,0,0,6,829521794,829578829,825183217,VisualBehavior,175,VISp,43523.67341,OPHYS_4_images_B,Novel 1,FALSE,B,859900570,Vip Inhibitory
833631914,CAM2P.4,Vip-IRES-Cre/wt;Ai148(TIT2L-GC6f-ICL-tTA2)/wt,429952,Ai148(TIT2L-GC6f-ICL-tTA2),['Vip-IRES-Cre'],M,145,Vip-IRES-Cre,GCaMP6f,6,2,4,10,832881662,832981154,825183217,VisualBehavior,175,VISp,43530.64902,OPHYS_6_images_B,Novel >1,FALSE,B,859911950,Vip Inhibitory
836258957,CAM2P.4,Vip-IRES-Cre/wt;Ai148(TIT2L-GC6f-ICL-tTA2)/wt,429952,Ai148(TIT2L-GC6f-ICL-tTA2),['Vip-IRES-Cre'],M,151,Vip-IRES-Cre,GCaMP6f,3,0,17,12,835795999,835820832,825183217,VisualBehavior,175,VISp,43536.60066,OPHYS_3_images_A,Familiar,FALSE,A,859911933,Vip Inhibitory
879332693,CAM2P.3,Slc17a7-IRES2-Cre/wt;Camk2a-tTA/wt;Ai94(TITL-GCaMP6s)/wt,449441,Ai94(TITL-GCaMP6s),"['Slc17a7-IRES2-Cre', 'Camk2a-tTA']",M,131,Slc17a7-IRES2-Cre,GCaMP6s,1,2,31,4,878436988,878703444,876693090,VisualBehavior,175,VISp,43616.66302,OPHYS_1_images_A,Familiar,FALSE,A,879443242,Excitatory
880375092,CAM2P.3,Slc17a7-IRES2-Cre/wt;Camk2a-tTA/wt;Ai94(TITL-GCaMP6s)/wt,449441,Ai94(TITL-GCaMP6s),"['Slc17a7-IRES2-Cre', 'Camk2a-tTA']",M,134,Slc17a7-IRES2-Cre,GCaMP6s,4,0,0,5,879719132,879846624,876693090,VisualBehavior,175,VISp,43619.62969,OPHYS_4_images_B,Novel 1,FALSE,B,880446658,Excitatory
882935355,CAM2P.3,Slc17a7-IRES2-Cre/wt;Camk2a-tTA/wt;Ai94(TITL-GCaMP6s)/wt,449441,Ai94(TITL-GCaMP6s),"['Slc17a7-IRES2-Cre', 'Camk2a-tTA']",M,138,Slc17a7-IRES2-Cre,GCaMP6s,6,1,3,8,882620042,882669474,876693090,VisualBehavior,175,VISp,43623.62694,OPHYS_6_images_B,Novel >1,FALSE,B,883031631,Excitatory
873972085,CAM2P.3,Slc17a7-IRES2-Cre/wt;Camk2a-tTA/wt;Ai93(TITL-GCaMP6f)/wt,450471,Ai93(TITL-GCaMP6f),"['Slc17a7-IRES2-Cre', 'Camk2a-tTA']",F,117,Slc17a7-IRES2-Cre,GCaMP6f,1,4,23,4,873542787,873695653,869781307,VisualBehavior,175,VISp,43607.74367,OPHYS_1_images_A,Familiar,FALSE,A,874058209,Excitatory
