experience_level,behavior_session_id,cre_line,session_type,mouse_id
Familiar,"[774937388, 775378326, 778980920, 779818630, 780758836, 791257562, 792680306, 794968300, 792477679, 794071128, 796233602, 803341010, 798145975, 805968845, 806625285, 817925173, 821521826, 808126003, 822995693, 806109931, 807356557, 806296598, 807584876, 825888541, 826697158, 827374757, 835820832, 815045874, 821931655, 822439453, 823254723, 816394256, 824894721, 830419451, 831905148, 833100683, 848599542, 849648618, 842729895, 844164376, 844849972, 853526948, 842346969, 842812730, 844027599, 848613406, 849651275, 848348215, 849494762, 856467236, 858029487, 858967789, 864068649, 851471401, 857340041, 858974731, 868070216, 868658294, 869559097, 852966248, 865980470, 872621004, 873846349, 868064132, 876660021, 875020189, 876510663, 878703444, 877878435, 869334643, 870592115, 871808394, 872626160, 873695653, 874699922, 875440936, 877617747, 878120101, 880780889, 881427978, 882827577, 885739915, 886446971, 887236947, 888301437, 884888379, 883696092, 885546697, 889175194, 891446789, 889388078, 891605682, 943979277, 945147410, 946065801, 947329225, 948268536, 949404352, 951662735, 952837870, 954107968, 954963038, 934812249, 937395157, 935653479, 938425882, 940553228, 960021127, 960834330, 963237068, 964109496, 962346335, 935129110, 937783930, 938789129, 940017421, 941891140, 944950609, 947311015, 948206919, 949337508, 972429310, 973350755, 974140453, 1006931469, 1007247990, 1052517136, 1053566913, 1042294199, 1042542860, 1043786075, 1050267978, 1050970990, 1051142682, 1065418558, 1065864253, 1066967257, 1065410067, 1066062571, 1066971490, 1081479282, 1082339563, 1082762804, 1083217187, 1084251686, 1084412566]",,,
Novel 1,"[782380778, 795742990, 794673280, 798679618, 808761500, 808324301, 808432167, 829578829, 817165094, 833946929, 850985993, 845441512, 844649493, 850989832, 853875514, 868546775, 879846624, 879037269, 889559462, 887011359, 892387261, 892526544, 956269097, 939533442, 941457567, 965034185, 950157787, 974606492, 1008030870, 1053932830, 1044011835, 1051341605, 1067611874, 1067619789, 1083001647, 1084914230]",,,
Novel >1,"[784156661, 785426306, 791749028, 792499741, 786920476, 788017709, 796251270, 796031509, 805373492, 800202171, 808107647, 824625446, 809606861, 812843373, 815011426, 825801398, 809358811, 812955256, 816417578, 809427293, 830832988, 831824426, 832981154, 818007489, 820124540, 834928595, 835940015, 852440775, 853496105, 846929750, 846011320, 852451567, 853025613, 857367017, 859793880, 860533862, 852229360, 855866701, 855424348, 870550054, 877605088, 878075965, 881210695, 882669474, 880784794, 891792255, 892663103, 893600606, 891632590, 892516916, 893429557, 895134854, 895804638, 889336784, 890683992, 894083470, 894368064, 957387951, 940628402, 941425961, 943479988, 944823947, 966765494, 952746230, 976012750, 976623704, 1008881178, 1054723429, 1044602299, 1052130442, 1052327057, 1068092571, 1069251048, 1068072446, 1069754075, 1070628235, 1071017498, 1071270468, 1084262448, 1085690095, 1085981495]",,,
,"[774937388, 775378326, 778980920, 779818630, 780758836, 791257562, 782380778, 784156661, 785426306, 791749028, 792499741, 786920476, 788017709, 792477679, 794071128, 794673280, 796031509, 805968845, 806625285, 817925173, 821521826, 808126003, 822995693, 808761500, 824625446, 809606861, 812843373, 815011426, 825801398, 806109931, 807356557, 808324301, 809358811, 812955256, 816417578, 806296598, 807584876, 808432167, 809427293, 815045874, 821931655, 822439453, 823254723, 816394256, 824894721, 817165094, 818007489, 820124540, 830419451, 831905148, 833100683, 833946929, 834928595, 835940015, 848599542, 849648618, 850985993, 852440775, 853496105, 842729895, 844164376, 844849972, 853526948, 845441512, 846929750, 842346969, 842812730, 844027599, 844649493, 846011320, 848613406, 849651275, 850989832, 852451567, 848348215, 849494762, 856467236, 858029487, 858967789, 864068649, 853025613, 857367017, 859793880, 860533862, 852229360, 855866701, 851471401, 857340041, 858974731, 868070216, 868658294, 869559097, 852966248, 853875514, 855424348, 865980470, 872621004, 873846349, 868064132, 876660021, 868546775, 870550054, 877605088, 878075965, 875020189, 876510663, 878703444, 877878435, 879846624, 881210695, 882669474, 869334643, 870592115, 871808394, 872626160, 873695653, 874699922, 875440936, 877617747, 878120101, 879037269, 880784794, 880780889, 881427978, 882827577, 885739915, 886446971, 887236947, 888301437, 884888379, 889559462, 891792255, 892663103, 893600606, 883696092, 885546697, 887011359, 891632590, 892516916, 893429557, 895134854, 895804638, 889336784, 890683992, 889175194, 891446789, 892387261, 894083470, 889388078, 891605682, 892526544, 894368064, 943979277, 945147410, 946065801, 947329225, 948268536, 949404352, 951662735, 952837870, 954107968, 954963038, 956269097, 957387951, 934812249, 937395157, 935653479, 939533442, 940628402, 941425961, 938425882, 940553228, 941457567, 943479988, 944823947, 972429310, 973350755, 974140453, 974606492, 976012750, 976623704]",Slc17a7-IRES2-Cre,,
,"[960021127, 960834330, 963237068, 964109496, 962346335, 965034185, 966765494, 1006931469, 1007247990, 1008030870, 1008881178, 1042294199, 1042542860, 1043786075, 1044011835, 1044602299, 1050267978, 1050970990, 1051142682, 1051341605, 1052130442, 1052327057, 1081479282, 1082339563, 1082762804, 1083001647, 1084262448, 1083217187, 1084251686, 1084412566, 1084914230, 1085690095, 1085981495]",Sst-IRES-Cre,,
,"[792680306, 794968300, 795742990, 796251270, 796233602, 803341010, 798145975, 798679618, 805373492, 800202171, 808107647, 825888541, 826697158, 827374757, 835820832, 829578829, 830832988, 831824426, 832981154, 935129110, 937783930, 938789129, 940017421, 941891140, 944950609, 947311015, 948206919, 949337508, 950157787, 952746230, 1052517136, 1053566913, 1053932830, 1054723429, 1065418558, 1065864253, 1066967257, 1067611874, 1068092571, 1069251048, 1065410067, 1066062571, 1066971490, 1067619789, 1068072446, 1069754075, 1070628235, 1071017498, 1071270468]",Vip-IRES-Cre,,
,"[774937388, 775378326, 792680306, 792477679, 796233602, 803341010, 805968845, 806625285, 817925173, 821521826, 806109931, 806296598, 825888541, 826697158, 827374757, 815045874, 821931655, 822439453, 823254723, 830419451, 848599542, 842729895, 842346969, 842812730, 848613406, 848348215, 851471401, 857340041, 858974731, 868070216, 868658294, 869559097, 865980470, 872621004, 873846349, 875020189, 876510663, 878703444, 869334643, 870592115, 871808394, 872626160, 873695653, 874699922, 880780889, 881427978, 882827577, 885739915, 886446971, 887236947, 888301437, 883696092, 889175194, 889388078, 943979277, 945147410, 946065801, 947329225, 948268536, 949404352, 934812249, 937395157, 938425882, 960021127, 960834330, 963237068, 964109496, 935129110, 937783930, 938789129, 940017421, 941891140, 972429310, 1006931469, 1052517136, 1042294199, 1042542860, 1050267978, 1065418558, 1065864253, 1065410067, 1081479282, 1083217187]",,OPHYS_1_images_A,
,"[778980920, 779818630, 780758836, 791257562, 794968300, 794071128, 798145975, 808126003, 822995693, 807356557, 807584876, 835820832, 816394256, 824894721, 831905148, 833100683, 849648618, 844164376, 844849972, 853526948, 844027599, 849651275, 849494762, 856467236, 858029487, 858967789, 864068649, 852966248, 868064132, 876660021, 877878435, 875440936, 877617747, 878120101, 884888379, 885546697, 891446789, 891605682, 951662735, 952837870, 954107968, 954963038, 935653479, 940553228, 962346335, 944950609, 947311015, 948206919, 949337508, 973350755, 974140453, 1007247990, 1053566913, 1043786075, 1050970990, 1051142682, 1066967257, 1066062571, 1066971490, 1082339563, 1082762804, 1084251686, 1084412566]",,OPHYS_3_images_A,
,"[782380778, 784156661, 785426306, 791749028, 792499741, 795742990, 794673280, 798679618, 805373492, 808761500, 824625446, 808324301, 808432167, 829578829, 817165094, 818007489, 833946929, 834928595, 850985993, 845441512, 844649493, 850989832, 853025613, 857367017, 859793880, 860533862, 853875514, 868546775, 879846624, 879037269, 889559462, 887011359, 891632590, 892516916, 893429557, 895134854, 895804638, 892387261, 892526544, 956269097, 939533442, 941457567, 965034185, 950157787, 974606492, 1008030870, 1053932830, 1044011835, 1051341605, 1067611874, 1067619789, 1083001647, 1084914230]",,OPHYS_4_images_B,
,"[786920476, 788017709, 796251270, 796031509, 800202171, 808107647, 809606861, 812843373, 815011426, 825801398, 809358811, 812955256, 816417578, 809427293, 830832988, 831824426, 832981154, 820124540, 835940015, 852440775, 853496105, 846929750, 846011320, 852451567, 852229360, 855866701, 855424348, 870550054, 877605088, 878075965, 881210695, 882669474, 880784794, 891792255, 892663103, 893600606, 889336784, 890683992, 894083470, 894368064, 957387951, 940628402, 941425961, 943479988, 944823947, 966765494, 952746230, 976012750, 976623704, 1008881178, 1054723429, 1044602299, 1052130442, 1052327057, 1068092571, 1069251048, 1068072446, 1069754075, 1070628235, 1071017498, 1071270468, 1084262448, 1085690095, 1085981495]",,OPHYS_6_images_B,
