"
stimulus_presentations_id","stimulus_block
","stimulus_block_name
","image_index
","image_name
","movie_frame_index
","duration
","start_time
","end_time
","start_frame
","end_frame
","is_change
","is_image_novel
","omitted
","movie_repeat
","flashes_since_change
","trials_id
","is_sham_change
","stimulus_name
","active
"
5100,3,natural_movie_one,-99,NaN,292,0.03338,4224.561966,4224.595346,252840,252841,False,<NA>,<NA>,0,299,-99,False,natural_movie_one,False
5101,3,natural_movie_one,-99,NaN,293,0.03336,4224.595346,4224.628706,252842,252843,False,<NA>,<NA>,0,300,-99,False,natural_movie_one,False
5102,3,natural_movie_one,-99,NaN,294,0.03339,4224.628706,4224.662096,252844,252845,False,<NA>,<NA>,0,301,-99,False,natural_movie_one,False
5103,3,natural_movie_one,-99,NaN,295,0.03333,4224.662096,4224.695426,252846,252847,False,<NA>,<NA>,0,302,-99,False,natural_movie_one,False
5104,3,natural_movie_one,-99,NaN,296,0.03340,4224.695426,4224.728826,252848,252849,False,<NA>,<NA>,0,303,-99,False,natural_movie_one,False
5105,3,natural_movie_one,-99,NaN,297,0.03329,4224.728826,4224.762116,252850,252851,False,<NA>,<NA>,0,304,-99,False,natural_movie_one,False
5106,3,natural_movie_one,-99,NaN,298,0.03336,4224.762116,4224.795476,252852,252853,False,<NA>,<NA>,0,305,-99,False,natural_movie_one,False
5107,3,natural_movie_one,-99,NaN,299,0.03340,4224.795476,4224.828876,252854,252855,False,<NA>,<NA>,0,306,-99,False,natural_movie_one,False
5108,3,natural_movie_one,-99,NaN,300,0.03340,4224.828876,4224.862276,252856,252857,False,<NA>,<NA>,0,307,-99,False,natural_movie_one,False
5109,3,natural_movie_one,-99,NaN,301,0.03338,4224.862276,4224.895656,252858,252859,False,<NA>,<NA>,0,308,-99,False,natural_movie_one,False
5110,3,natural_movie_one,-99,NaN,302,0.03335,4224.895656,4224.929006,252860,252861,False,<NA>,<NA>,0,309,-99,False,natural_movie_one,False
5111,3,natural_movie_one,-99,NaN,303,0.03336,4224.929006,4224.962366,252862,252863,False,<NA>,<NA>,0,310,-99,False,natural_movie_one,False
5112,3,natural_movie_one,-99,NaN,304,0.03332,4224.962366,4224.995686,252864,252865,False,<NA>,<NA>,0,311,-99,False,natural_movie_one,False
5113,3,natural_movie_one,-99,NaN,305,0.03340,4224.995686,4225.029086,252866,252867,False,<NA>,<NA>,0,312,-99,False,natural_movie_one,False
5114,3,natural_movie_one,-99,NaN,306,0.03339,4225.029086,4225.062476,252868,252869,False,<NA>,<NA>,0,313,-99,False,natural_movie_one,False
5115,3,natural_movie_one,-99,NaN,307,0.03333,4225.062476,4225.095806,252870,252871,False,<NA>,<NA>,0,314,-99,False,natural_movie_one,False
5116,3,natural_movie_one,-99,NaN,308,0.03337,4225.095806,4225.129176,252872,252873,False,<NA>,<NA>,0,315,-99,False,natural_movie_one,False
